cod_ibge;municipio;area_km;cod_ra;ra;cod_rm;rm;cod_drs;drs;cod_r_saude;r_saude
3525854;Jumirim;56,685;5;RA Sorocaba;5;RM Sorocaba;6;DRS Sorocaba;35163;Sorocaba
3525904;Jundiaí;431,204;6;RA Campinas;9;RM Jundiaí;3;DRS Campinas;35073;Jundiaí
3526001;Junqueirópolis;582,565;11;RA Presidente Prudente;9;Demais municípios;2;DRS Presidente Prudente;35111;Alta Paulista
3526100;Juquiá;812,799;2;RA Registro;9;Demais municípios;9;DRS Registro;35121;Vale do Ribeira
3526209;Juquitiba;522,169;1;RM  São Paulo;1;RM São Paulo;10;DRS Grande São Paulo;35013;Mananciais
3526308;Lagoinha;255,472;4;RA São José dos Campos;4;RM Vale Paraíba e Litoral Norte;17;DRS Taubaté;35174;Vale do Paraíba/Região Serrana
3526407;Laranjal Paulista;384,274;5;RA Sorocaba;9;Demais municípios;12;DRS Bauru;35063;Polo Cuesta
3526506;Lavínia;537,675;10;RA Araçatuba;9;Demais municípios;7;DRS Araçatuba;35022;Lagos do DRS II
3526605;Lavrinhas;167,067;4;RA São José dos Campos;4;RM Vale Paraíba e Litoral Norte;17;DRS Taubaté;35172;Circuito da Fé e Vale Histórico
3526704;Leme;402,871;6;RA Campinas;9;RM Piracicaba;11;DRS Piracicaba;35101;Araras
3526803;Lençóis Paulista;809,541;8;RA Bauru;9;Demais municípios;12;DRS Bauru;35062;Bauru
